utc,raw,volts,pct,src,left,right,run_state
2026-08-15T06:34:28+00:00,9412.6,11.80,70,,None,None,idle
2026-08-15T06:34:30+00:00,9356.6,11.73,67,,None,None,idle
2026-08-15T06:34:32+00:00,9400.6,11.78,69,drive,0,0,idle
2026-08-15T06:34:34+00:00,9396.0,11.78,69,drive,0,0,idle
2026-08-15T06:34:36+00:00,9399.9,11.78,69,drive,0,0,idle
2026-08-15T06:34:38+00:00,9405.2,11.79,69,drive,0,0,idle
2026-08-15T06:34:40+00:00,9395.2,11.78,69,drive,0,0,idle
2026-08-15T06:34:42+00:00,9372.6,11.75,67,drive,0,0,idle
2026-08-15T06:34:44+00:00,9328.9,11.69,64,drive,0,0,idle
2026-08-15T06:34:46+00:00,9410.0,11.80,70,drive,0,0,idle
2026-08-15T06:34:49+00:00,9390.2,11.77,69,drive,0,0,idle
2026-08-15T06:34:51+00:00,9404.7,11.79,69,drive,0,0,idle
2026-08-15T06:34:53+00:00,9390.8,11.77,69,drive,0,0,idle
2026-08-15T06:34:55+00:00,9377.0,11.75,67,drive,0,0,idle
2026-08-15T06:34:57+00:00,9397.2,11.78,69,drive,0,0,idle
2026-08-15T06:34:59+00:00,9392.0,11.77,69,drive,0,0,idle
2026-08-15T06:35:01+00:00,9395.6,11.78,69,drive,0,0,idle
2026-08-15T06:35:03+00:00,9387.3,11.77,69,drive,0,0,idle
2026-08-15T06:35:05+00:00,9391.2,11.77,69,drive,0,0,idle
2026-08-15T06:35:07+00:00,9414.8,11.80,70,drive,0,0,idle
2026-08-15T06:35:09+00:00,9384.3,11.76,68,drive,0,0,idle
2026-08-15T06:35:11+00:00,9399.2,11.78,69,drive,0,0,idle
2026-08-15T06:35:13+00:00,9409.2,11.80,70,drive,0,0,idle
2026-08-15T06:35:15+00:00,9396.7,11.78,69,drive,0,0,idle
2026-08-15T06:35:17+00:00,9394.9,11.78,69,drive,0,0,idle
2026-08-15T06:35:19+00:00,9380.9,11.76,68,drive,0,0,idle
2026-08-15T06:35:21+00:00,9348.3,11.72,66,drive,0,0,idle
2026-08-15T06:35:23+00:00,9409.6,11.80,70,drive,0,0,idle
2026-08-15T06:35:25+00:00,9394.8,11.78,69,drive,0,0,idle
2026-08-15T06:35:27+00:00,9406.1,11.79,69,drive,0,0,idle
2026-08-15T06:35:29+00:00,9388.1,11.77,69,drive,0,0,idle
2026-08-15T06:35:31+00:00,9393.1,11.77,69,drive,0,0,idle
2026-08-15T06:35:33+00:00,9343.0,11.71,66,drive,0,0,idle
2026-08-15T06:35:35+00:00,9408.0,11.79,69,drive,0,0,idle
